term_id,name,slug,term_group,admin_link,weblink
111,Branding,branding,0,https://casestudy-labs.com/wp-admin/term.php?taxonomy=post_tag&tag_ID=111,https://casestudy-labs.com/index.php/tag/branding/
112,"Web Design",web-design,0,https://casestudy-labs.com/wp-admin/term.php?taxonomy=post_tag&tag_ID=112,https://casestudy-labs.com/index.php/tag/web-design/
113,"Web Development",web-development,0,https://casestudy-labs.com/wp-admin/term.php?taxonomy=post_tag&tag_ID=113,https://casestudy-labs.com/index.php/tag/web-development/
114,E-commerce,e-commerce,0,https://casestudy-labs.com/wp-admin/term.php?taxonomy=post_tag&tag_ID=114,https://casestudy-labs.com/index.php/tag/e-commerce/
115,"UI/UX Design",ui-ux-design,0,https://casestudy-labs.com/wp-admin/term.php?taxonomy=post_tag&tag_ID=115,https://casestudy-labs.com/index.php/tag/ui-ux-design/
116,"Digital Marketing",digital-marketing,0,https://casestudy-labs.com/wp-admin/term.php?taxonomy=post_tag&tag_ID=116,https://casestudy-labs.com/index.php/tag/digital-marketing/
117,SEO,seo,0,https://casestudy-labs.com/wp-admin/term.php?taxonomy=post_tag&tag_ID=117,https://casestudy-labs.com/index.php/tag/seo/
118,"Content Strategy",content-strategy,0,https://casestudy-labs.com/wp-admin/term.php?taxonomy=post_tag&tag_ID=118,https://casestudy-labs.com/index.php/tag/content-strategy/
119,"Social Media Marketing",social-media-marketing,0,https://casestudy-labs.com/wp-admin/term.php?taxonomy=post_tag&tag_ID=119,https://casestudy-labs.com/index.php/tag/social-media-marketing/
120,"Graphic Design",graphic-design,0,https://casestudy-labs.com/wp-admin/term.php?taxonomy=post_tag&tag_ID=120,https://casestudy-labs.com/index.php/tag/graphic-design/
121,"Cannabis Industry",cannabis-industry,0,https://casestudy-labs.com/wp-admin/term.php?taxonomy=post_tag&tag_ID=121,https://casestudy-labs.com/index.php/tag/cannabis-industry/
122,Healthcare,healthcare,0,https://casestudy-labs.com/wp-admin/term.php?taxonomy=post_tag&tag_ID=122,https://casestudy-labs.com/index.php/tag/healthcare/
123,Technology,technology,0,https://casestudy-labs.com/wp-admin/term.php?taxonomy=post_tag&tag_ID=123,https://casestudy-labs.com/index.php/tag/technology/
124,Retail,retail,0,https://casestudy-labs.com/wp-admin/term.php?taxonomy=post_tag&tag_ID=124,https://casestudy-labs.com/index.php/tag/retail/
125,Hospitality,hospitality,0,https://casestudy-labs.com/wp-admin/term.php?taxonomy=post_tag&tag_ID=125,https://casestudy-labs.com/index.php/tag/hospitality/
126,"Food &amp; Beverage",food-and-beverage,0,https://casestudy-labs.com/wp-admin/term.php?taxonomy=post_tag&tag_ID=126,https://casestudy-labs.com/index.php/tag/food-and-beverage/
127,"Fashion &amp; Apparel",fashion-and-apparel,0,https://casestudy-labs.com/wp-admin/term.php?taxonomy=post_tag&tag_ID=127,https://casestudy-labs.com/index.php/tag/fashion-and-apparel/
128,Non-Profit,non-profit,0,https://casestudy-labs.com/wp-admin/term.php?taxonomy=post_tag&tag_ID=128,https://casestudy-labs.com/index.php/tag/non-profit/
129,"Professional Services",professional-services,0,https://casestudy-labs.com/wp-admin/term.php?taxonomy=post_tag&tag_ID=129,https://casestudy-labs.com/index.php/tag/professional-services/
130,"Brand Identity",brand-identity,0,https://casestudy-labs.com/wp-admin/term.php?taxonomy=post_tag&tag_ID=130,https://casestudy-labs.com/index.php/tag/brand-identity/
131,"Brand Launch",brand-launch,0,https://casestudy-labs.com/wp-admin/term.php?taxonomy=post_tag&tag_ID=131,https://casestudy-labs.com/index.php/tag/brand-launch/
132,"Brand Refresh",brand-refresh,0,https://casestudy-labs.com/wp-admin/term.php?taxonomy=post_tag&tag_ID=132,https://casestudy-labs.com/index.php/tag/brand-refresh/
133,"Go-to-Market Strategy",go-to-market-strategy,0,https://casestudy-labs.com/wp-admin/term.php?taxonomy=post_tag&tag_ID=133,https://casestudy-labs.com/index.php/tag/go-to-market-strategy/
134,"User Experience",user-experience,0,https://casestudy-labs.com/wp-admin/term.php?taxonomy=post_tag&tag_ID=134,https://casestudy-labs.com/index.php/tag/user-experience/
135,"Lead Generation",lead-generation,0,https://casestudy-labs.com/wp-admin/term.php?taxonomy=post_tag&tag_ID=135,https://casestudy-labs.com/index.php/tag/lead-generation/
